timedifference,trialnumber,blocknumber,xpos,ypos
15,1,1,990,844
14,1,1,1008,781
14,1,1,1024,707
14,1,1,1034,652
12,1,1,1039,618
13,1,1,1041,593
10,1,1,1048,568
14,1,1,1050,540
13,1,1,1050,522
12,1,1,1045,505
10,1,1,1040,492
11,1,1,1037,481
14,1,1,1033,466
10,1,1,1033,457
10,1,1,1032,445
10,1,1,1028,430
10,1,1,1022,414
11,1,1,1013,398
11,1,1,996,371
12,1,1,976,351
14,1,1,948,327
13,1,1,917,302
12,1,1,881,276
11,1,1,847,250
11,1,1,814,218
10,1,1,797,199
10,1,1,793,189
10,1,1,794,184
15,1,1,809,178
10,1,1,835,169
14,1,1,900,156
16,1,1,1037,143
10,1,1,1135,136
10,1,1,1235,134
13,1,1,1368,118
11,1,1,1471,112
10,2,1,1013,955
17,2,1,1028,889
15,2,1,1040,828
11,2,1,1046,787
11,2,1,1052,751
10,2,1,1058,725
15,2,1,1067,688
11,2,1,1077,662
11,2,1,1082,641
13,2,1,1084,619
11,2,1,1084,603
13,2,1,1083,588
13,2,1,1081,570
13,2,1,1086,548
15,2,1,1102,522
13,2,1,1122,499
12,2,1,1147,477
10,2,1,1171,461
14,2,1,1211,434
10,2,1,1246,414
11,2,1,1294,388
10,2,1,1336,371
13,2,1,1389,348
10,2,1,1438,333
10,2,1,1483,318
15,2,1,1528,303
10,2,1,1551,296
10,2,1,1566,288
12,2,1,1577,283
13,2,1,1583,278
11,2,1,1586,276
123,2,1,1586,274
13,2,1,1586,271
13,2,1,1584,267
10,2,1,1580,260
10,2,1,1575,253
10,2,1,1573,246
10,2,1,1571,240
10,3,1,884,915
11,3,1,890,876
10,3,1,894,832
10,3,1,899,799
11,3,1,910,762
13,3,1,927,717
11,3,1,945,679
15,3,1,959,629
12,3,1,958,598
13,3,1,940,566
10,3,1,923,545
12,3,1,900,525
10,3,1,883,509
13,3,1,860,488
10,3,1,844,469
10,3,1,826,446
15,3,1,801,404
13,3,1,783,369
11,3,1,774,344
10,3,1,768,325
11,3,1,759,301
10,3,1,751,279
14,3,1,741,254
11,3,1,738,237
13,3,1,738,225
11,3,1,740,218
26,3,1,762,203
11,3,1,762,203
10,3,1,832,196
13,3,1,907,194
14,3,1,1013,189
15,3,1,1143,175
10,3,1,1223,167
10,3,1,1324,155
10,3,1,1412,147
11,4,1,985,929
10,4,1,990,902
10,4,1,993,846
10,4,1,996,792
10,4,1,996,737
13,4,1,990,678
12,4,1,982,627
14,4,1,981,586
10,4,1,986,560
11,4,1,996,531
10,4,1,1004,510
10,4,1,1012,486
10,4,1,1022,459
17,4,1,1041,416
10,4,1,1055,386
11,4,1,1072,354
10,4,1,1085,330
15,4,1,1101,301
10,4,1,1103,291
11,4,1,1104,283
14,4,1,1097,273
10,4,1,1089,267
10,4,1,1068,256
10,4,1,1042,244
10,4,1,1010,232
10,4,1,979,218
10,4,1,950,204
10,4,1,926,191
10,4,1,910,182
12,4,1,905,177
34,4,1,905,176
12,4,1,908,172
11,4,1,909,170
10,4,1,909,168
12,4,1,907,162
10,4,1,902,158
12,4,1,891,151
11,4,1,877,147
14,4,1,846,140
10,4,1,818,134
11,4,1,770,128
12,4,1,700,122
10,4,1,638,120
10,4,1,576,120
11,4,1,511,118
11,5,1,942,775
10,5,1,942,747
14,5,1,935,708
12,5,1,922,666
25,5,1,902,587
11,5,1,902,587
12,5,1,897,512
11,5,1,896,480
11,5,1,895,459
