timedifference,trialnumber,blocknumber,xpos,ypos
0,1,1,926,832
8,1,1,926,832
8,1,1,927,786
5,1,1,927,786
5,1,1,930,755
6,1,1,933,726
8,1,1,936,692
8,1,1,936,692
6,1,1,941,637
6,1,1,944,602
8,1,1,944,602
8,1,1,944,545
5,1,1,944,545
7,1,1,941,512
6,1,1,935,481
7,1,1,935,481
9,1,1,928,430
8,1,1,928,430
7,1,1,926,398
10,1,1,929,378
6,1,1,929,378
7,1,1,929,378
6,1,1,943,346
6,1,1,954,334
8,1,1,954,334
6,1,1,973,315
8,1,1,997,298
6,1,1,997,298
6,1,1,1023,281
8,1,1,1056,265
8,1,1,1094,243
7,1,1,1094,243
8,1,1,1167,204
7,1,1,1208,184
8,1,1,1257,163
7,1,1,1257,163
5,1,1,1336,131
8,1,1,1399,113
7,1,1,1399,113
8,1,1,1499,98
0,2,1,1055,842
9,2,1,1065,786
7,2,1,1065,786
15,2,1,1068,693
5,2,1,1068,693
7,2,1,1068,693
7,2,1,1068,693
7,2,1,1076,536
9,2,1,1079,485
7,2,1,1079,485
7,2,1,1079,485
6,2,1,1080,407
7,2,1,1080,407
9,2,1,1070,365
8,2,1,1070,365
6,2,1,1066,341
7,2,1,1064,326
7,2,1,1064,326
9,2,1,1068,300
7,2,1,1075,284
7,2,1,1075,284
9,2,1,1093,257
9,2,1,1107,241
5,2,1,1107,241
5,2,1,1120,226
5,2,1,1120,226
7,2,1,1130,214
6,2,1,1135,205
6,2,1,1138,199
9,2,1,1139,193
7,2,1,1139,189
6,2,1,1138,185
7,2,1,1135,181
6,2,1,1131,177
7,2,1,1125,172
8,2,1,1113,164
8,2,1,1113,164
9,2,1,1072,139
7,2,1,1072,139
8,2,1,1022,112
8,2,1,977,90
8,2,1,977,90
8,2,1,872,47
5,2,1,872,47
7,2,1,801,21
6,2,1,738,6
5,2,1,676,0
5,2,1,676,0
6,2,1,582,0
8,2,1,582,0
6,2,1,490,0
6,2,1,430,2
0,3,1,815,837
7,3,1,824,809
5,3,1,824,809
8,3,1,843,756
5,3,1,843,756
7,3,1,843,756
5,3,1,872,681
5,3,1,872,681
