trialnumber,blocknumber,success,reactiontime,currentcongruency,currentdirection,currentlocation,previouscongruency,previousdirection,previouslocation
1,1,1,327,1,1,0,1,1,0
2,1,1,326,1,1,1,1,1,0
3,1,1,345,1,0,1,1,1,1
4,1,1,421,1,1,1,1,0,1
5,1,1,358,1,0,1,1,1,1
6,1,1,310,1,1,0,1,0,1
7,1,1,301,0,0,0,1,1,0
8,1,1,328,1,1,0,0,0,0
9,1,1,308,1,1,1,1,1,0
10,1,1,335,0,0,1,1,1,1
11,1,1,297,1,1,0,0,0,1
12,1,1,295,1,1,1,1,1,0
13,1,1,351,1,0,1,1,1,1
14,1,1,239,1,1,1,1,0,1
15,1,0,250,0,1,0,1,1,1
16,1,1,296,0,1,1,0,1,0
17,1,0,272,0,1,0,0,1,1
18,1,1,237,1,0,0,0,1,0
19,1,1,234,0,1,1,1,0,0
20,1,1,292,0,0,0,0,0,0
20,1,1,292,0,0,0,0,1,1
21,1,1,325,1,0,1,0,0,0
22,1,1,381,1,0,0,1,0,1
23,1,1,578,0,0,1,1,0,0
24,1,1,393,0,0,0,0,0,1
25,1,1,512,0,0,1,0,0,0
26,1,1,330,1,1,0,0,0,1
27,1,0,230,0,1,0,1,1,0
28,1,0,381,0,1,1,0,1,0
29,1,1,283,1,1,1,0,1,1
30,1,1,522,1,1,0,1,1,1
31,1,1,551,1,1,1,1,1,0
32,1,1,395,1,1,1,1,1,1
33,1,1,526,1,1,1,1,1,1
34,1,1,347,0,0,0,1,1,1
35,1,1,339,1,0,0,0,0,0
36,1,1,356,1,0,0,1,0,0
37,1,1,426,0,0,0,1,0,0
38,1,1,395,1,0,0,0,0,0
39,1,1,575,1,0,1,1,0,0
40,1,1,425,0,1,1,1,0,1
41,1,1,292,1,1,1,0,1,1
42,1,1,297,0,0,0,1,1,1
43,1,1,276,1,0,0,0,0,0
44,1,0,253,1,1,0,1,0,0
45,1,1,321,0,0,1,1,1,0
46,1,1,410,1,1,1,0,0,1
47,1,1,396,0,1,1,1,1,1
48,1,1,356,0,1,1,0,1,1
49,1,1,353,1,0,1,0,1,1
50,1,1,315,0,1,1,1,0,1
51,1,1,415,0,1,0,0,1,1
52,1,1,419,0,1,1,0,1,0
53,1,1,436,1,0,1,0,1,1
54,1,1,439,0,0,1,1,0,1
55,1,1,409,0,0,1,0,0,1
56,1,1,407,1,0,1,0,0,1
57,1,1,370,0,0,1,1,0,1
58,1,1,470,0,1,0,0,0,1
59,1,1,389,1,0,1,0,1,0
60,1,1,393,1,1,0,1,0,1
61,1,1,270,0,1,1,1,1,0
62,1,1,264,0,1,1,0,1,1
63,1,0,244,1,1,0,0,1,1
64,1,1,373,0,1,0,1,1,0
65,1,1,396,0,1,1,0,1,0
66,1,1,264,0,0,0,0,1,1
67,1,1,364,0,1,0,0,0,0
68,1,1,322,1,0,0,0,1,0
69,1,1,383,1,0,1,1,0,0
70,1,1,254,1,1,1,1,0,1
71,1,1,545,0,1,0,1,1,1
72,1,1,325,0,0,0,0,1,0
73,1,1,354,1,1,1,0,0,0
74,1,1,264,1,1,1,1,1,1
75,1,1,350,0,0,0,1,1,1
76,1,1,596,0,0,1,0,0,0
77,1,1,340,1,0,0,0,0,1
78,1,1,275,1,0,0,1,0,0
79,1,1,296,0,0,0,1,0,0
80,1,1,288,0,0,0,0,0,0
81,1,1,519,0,0,1,0,0,0
82,1,1,404,0,0,1,0,0,1
83,1,1,385,0,1,0,0,0,1
84,1,1,368,0,0,1,0,1,0
85,1,1,372,0,1,0,0,0,1
86,1,1,350,1,0,1,0,1,0
87,1,1,258,0,0,0,1,0,1
88,1,1,443,0,0,1,0,0,0
89,1,1,403,0,0,1,0,0,1
90,1,1,707,0,1,0,0,0,1
91,1,1,406,0,0,1,0,1,0
92,1,1,352,1,0,1,0,0,1
93,1,1,562,0,1,0,1,0,1
94,1,1,503,1,1,0,0,1,0
95,1,1,585,1,1,1,1,1,0
96,1,1,394,0,0,1,1,1,1
97,1,1,392,0,0,1,0,0,1
98,1,1,478,1,1,0,0,0,1
99,1,1,480,0,1,0,1,1,0
100,1,1,446,1,1,0,0,1,0
101,1,1,545,0,1,1,1,1,0
102,1,1,335,1,0,0,0,1,1
103,1,1,417,1,0,0,1,0,0
104,1,1,346,0,0,0,1,0,0
105,1,1,352,0,1,0,0,0,0
106,1,1,396,1,0,1,0,1,0
107,1,1,483,0,1,1,1,0,1
108,1,0,0,1,0,1,0,1,1
109,1,0,0,0,0,0,1,0,1
110,1,1,291,1,1,0,0,0,0
111,1,1,391,0,1,1,1,1,0
112,1,1,350,1,1,0,0,1,1
113,1,1,406,1,0,0,1,1,0
114,1,1,419,0,0,1,1,0,0
115,1,1,488,1,0,0,0,0,1
116,1,1,364,0,1,0,1,0,0
117,1,1,398,1,1,1,0,1,0
118,1,1,295,1,0,0,1,1,1
119,1,1,335,0,0,0,1,0,0
120,1,1,315,1,0,0,0,0,0
121,1,1,454,1,1,0,1,0,0
122,1,1,374,0,0,1,1,1,0
123,1,1,269,1,1,1,0,0,1
124,1,1,247,0,0,0,1,1,1
125,1,1,274,0,1,1,0,0,0
126,1,1,284,0,0,0,0,1,1
127,1,1,297,0,1,1,0,0,0
128,1,1,234,0,0,0,0,1,1
129,1,1,484,1,0,1,0,0,0
130,1,1,263,0,0,0,1,0,1
131,1,1,324,0,1,1,0,0,0
132,1,1,280,1,0,0,0,1,1
133,1,1,290,1,0,0,1,0,0
134,1,0,222,0,1,0,1,0,0
135,1,0,0,0,0,1,0,1,0
136,1,1,236,1,0,0,0,0,1
137,1,1,523,1,0,1,1,0,0
138,1,1,393,0,1,0,1,0,1
139,1,1,344,1,1,1,0,1,0
140,1,1,303,0,0,0,1,1,1
141,1,1,380,0,1,0,0,0,0
142,1,1,340,1,1,0,0,1,0
143,1,1,378,1,1,0,1,1,0
144,1,1,413,1,0,1,1,1,0
145,1,1,317,0,1,1,1,0,1
146,1,1,215,1,0,0,0,1,1
147,1,1,316,1,0,0,1,0,0
148,1,1,381,0,1,0,1,0,0
149,1,0,240,1,1,0,0,1,0
150,1,1,344,1,1,1,1,1,0
151,1,1,390,1,1,0,1,1,1
152,1,1,411,1,1,1,1,1,0
153,1,1,288,0,1,1,1,1,1
154,1,1,455,1,0,1,0,1,1
155,1,1,322,0,1,1,1,0,1
156,1,1,339,1,1,0,0,1,1
157,1,1,425,0,0,1,1,1,0
158,1,1,433,1,0,1,0,0,1
159,1,1,376,0,1,0,1,0,1
160,1,1,411,1,0,1,0,1,0
1,2,1,362,1,0,1,1,0,1
2,2,1,376,0,1,1,1,0,1
3,2,1,221,1,0,0,0,1,1
4,2,1,379,0,0,1,1,0,0
5,2,1,317,1,1,0,0,0,1
6,2,1,260,1,1,1,1,1,0
7,2,1,420,1,0,1,1,1,1
8,2,1,283,1,1,1,1,0,1
9,2,1,357,1,0,0,1,1,1
10,2,1,417,1,0,0,1,0,0
11,2,1,353,0,1,0,1,0,0
12,2,1,363,0,0,1,0,1,0
13,2,1,340,1,1,1,0,0,1
14,2,0,181,0,1,0,1,1,1
15,2,1,375,0,0,0,0,1,0
16,2,1,400,1,0,1,0,0,0
17,2,1,301,1,1,1,1,0,1
18,2,1,451,1,0,1,1,1,1
19,2,1,323,0,1,0,1,0,1
20,2,0,260,0,1,0,0,1,0
21,2,1,366,0,1,0,0,1,0
22,2,1,388,0,1,1,0,1,0
23,2,1,290,1,0,0,0,1,1
24,2,1,403,1,0,0,1,0,0
25,2,1,481,0,0,1,1,0,0
26,2,1,230,0,1,1,0,0,1
27,2,1,358,0,1,1,0,1,1
28,2,1,369,0,1,1,0,1,1
29,2,1,473,0,1,1,0,1,1
30,2,1,605,0,0,1,0,1,1
31,2,1,492,1,0,1,0,0,1
32,2,1,401,1,0,1,1,0,1
33,2,1,485,1,1,0,1,0,1
34,2,1,392,0,1,0,1,1,0
35,2,1,532,0,1,1,0,1,0
36,2,1,484,1,1,1,0,1,1
37,2,1,498,0,0,1,1,1,1
38,2,1,323,0,1,1,0,0,1
39,2,0,271,1,1,0,0,1,1
40,2,1,495,1,0,1,1,1,0
41,2,1,408,0,1,1,1,0,1
42,2,1,497,0,1,0,0,1,1
43,2,1,471,0,1,0,0,1,0
44,2,1,353,1,0,1,0,1,0
45,2,1,440,0,1,0,1,0,1
46,2,1,518,1,0,1,0,1,0
47,2,1,513,1,0,1,1,0,1
48,2,1,355,0,1,0,1,0,1
49,2,1,413,1,0,0,0,1,0
50,2,1,477,1,0,0,1,0,0
